start	end	text
0	5000	The next morning
5000	9000	You two! You did your best this morning! You're great!
9000	13000	Huh? Thank you, Kanon-senpai.
13000	16000	I think it was the same as usual this morning.
16000	19000	It was great because it was done as usual!
19000	24000	I found out later, but the train was late because of the heavy rain, right?
24000	28000	By the way, it was a pretty hard morning.
28000	32000	It was a little late, but I'm glad I didn't get late.
32000	40000	On this day, the Onitsuka-senpai-only high-movement Ushiku-movement machine that Shiki-senpai made was useful.
40000	47000	And the most efficient full-speed travel course that Tomari prepared!
47000	51000	If possible, I don't want to do it again!
51000	54000	Natsumi-chan, you were in a daze, right?
54000	60000	But it's too late, but you two are going from Ushiku to Yuigaoka every day and participating in the morning training!
60000	62000	You're great!
62000	70000	To be honest, it was strange why my sister was in a daze before I entered Yuigaoka.
70000	73000	No, it's actually strange for me, too.
73000	78000	Natsumi-chan, you've been participating in the morning training since you were in the first grade, right?
78000	80000	Hmm...
80000	88000	When I feel like I want to grow more and more as a school idol, my eyes naturally wake up in the morning...
88000	94000	I know! You want to go to school and meet everyone as soon as possible, right?
94000	95000	...
95000	97000	I'm sure that's it!
97000	105000	By joining Riera, my sister started to chase after her dreams with everyone, not for her own sake.
105000	110000	It's a little embarrassing to hear you say that again...
110000	113000	No, it's not embarrassing at all!
113000	117000	It's a wonderful thing to chase after your dreams with everyone!
117000	122000	Yes, I want to make my dream come true with my sister.
122000	124000	...
124000	129000	Yeah! It's fun to dream with everyone!
129000	132000	...
132000	137000	When I heard what Natsumi-chan said just now, I was moved!
137000	142000	Let's run together right now! Towards that sunset!
142000	143000	...
143000	147000	Did you suddenly say something like Chisato-senpai?
147000	153000	I don't think Chisato-senpai will say it either. And it's noon now, so there's no sunset.
153000	158000	Anyway, let's all start the radio!
158000	159000	Yes!
159000	169000	The Live Super Star!
169000	176000	Riera Shin, Toma Kano, and Natsuu!
176000	180000	Hello, everyone!
180000	182000	I'm Sayarin, the voice of Kano Chibuya, and I'm Sayari Tate.
182000	185000	I'm Sakuchan, the voice of Tomori Onitsuka, and I'm Sakura Sakakura.
185000	187000	I'm Emory, the voice of Natsumi Onitsuka, and I'm Aya Emory.
187000	190000	We are Riera!
190000	192000	Nice to meet you!
192000	198000	This time, my sister came, so I'll see you in another summer!
198000	203000	It's been a long time!
203000	205000	It seems that it's been four months.
205000	209000	The last time I came was around July.
209000	213000	I woke up in the fall and came in the winter.
213000	214000	It's nice!
214000	216000	It's nice to have a winter from summer!
216000	217000	It's nice to have a winter from summer!
217000	218000	It's nice to have a winter from summer!
218000	221000	I hope you have a good time!
221000	223000	Let's have fun!
223000	225000	Thank you!
225000	230000	This Sunday, November 23rd, is the day of the labor camp.
230000	233000	There are three classes on the weekend on Monday.
233000	236000	It seems that there are two classes on November.
236000	238000	That's great!
238000	241000	I wonder if everyone wants to go somewhere.
241000	246000	Please take Riera's members to the camp!
246000	248000	Let's go!
248000	250000	Let's go!
250000	252000	Let's go!
252000	254000	Let's go!
255000	257000	Where do you want Natsumi to take you?
257000	261000	I want Natsumi to take me to the camp!
261000	265000	It's been a long time, so I'm going to the camp!
265000	267000	I'm going to the camp!
267000	270000	Did you overcome your fear?
271000	275000	I'm still a little scared.
275000	278000	If everyone takes me there, I may be able to overcome it.
278000	281000	It's no doubt!
281000	283000	What about Kano-senpai?
283000	285000	Kano-senpai...
285000	287000	Kano-senpai!
287000	289000	In the place of the bag...
289000	291000	What's the place of the bag?
291000	293000	Bag cafe!
293000	296000	Please go out as much as possible.
296000	298000	Outdoor!
298000	304000	I'm not going to be in the video, so please take Kano instead of me.
304000	306000	What about Tomo-chan?
306000	308000	Tomo-chan is like a aquarium.
308000	310000	I like it.
310000	314000	I'll be happy if you show me your jellyfish.
314000	316000	I'm looking forward to it.
318000	324000	Next Monday, November 24, is Hazuki Rin-chan's birthday.
324000	326000	Happy birthday, Rin-chan.
326000	330000	I hope you can celebrate it on that day.
330000	332000	Thank you.
332000	334000	Thank you for your continued support.
334000	341000	Love Live Super Star, Yuizou Lunchtime Broadcasting Station, Rie-rashi. Let's Super Start!
342000	349000	Love Live Super Star, Yuizou Lunchtime Broadcasting Station, Rie-rashi.
352000	356000	This is the corner of Yuigaoka Girls High School, Toshibako.
356000	358000	Let's do it together.
358000	360000	Toshibako!
360000	363000	Let's introduce the questions.
363000	369000	First, we have a question from Rie-rashi name, Noppiki-san. Thank you.
