start	end	text
0	4000	Natsumi-chan, you did a great job yesterday, didn't you, Natsumi-chan?
4000	6000	As expected of my big sister.
6000	12000	Ehe, I'm glad you're happy with Den-senpai's birthday celebration.
12000	17000	I can't believe he was filming a celebration video with everyone at Yuigaoka.
17000	22000	He cooperated with the first and second year students alone, and he kept it a secret from us, the third year students!
23000	29000	I told my big sister that it would be more efficient for me to get data from the students, but...
29000	32000	That's not a good idea.
32000	37000	And so, Oninatsu's突撃収録!
37000	43000	Would you like to say something to the student council president, Hazuki Rei-senpai, for his birthday celebration?
43000	44000	Please!
44000	46000	Eh? Me?
46000	48000	Eh? Me?
48000	50000	Ah, um...
50000	53000	Happy birthday, Ren-chan!
53000	57000	I always respect you for your straightforwardness.
57000	59000	Thank you very much!
59000	64000	I'll send this video to you, Ren-senpai.
64000	66000	Come on, don't film it all of a sudden!
66000	69000	I'm not used to that kind of thing.
69000	73000	You said you weren't used to it, but you did comment on it, didn't you?
73000	74000	That's right.
74000	77000	The way you look at the camera and the way you smile is perfect!
77000	78000	Ahahaha!
78000	82000	I was put on the good side of Natsumi-chan, and...
82000	84000	That's how you filmed everyone!
84000	85000	That's right.
85000	88000	That project couldn't have been possible without my big sister.
88000	91000	You're exaggerating.
91000	94000	I just did it because I was having fun.
94000	97000	Is that to celebrate Ren-chan?
97000	99000	Or is it to shoot a video?
99000	101000	Of course, both!
101000	105000	For my big sister, fun is the driving force.
105000	109000	It's the same as being able to continue with video streams and video editing every day.
109000	111000	Ah!
111000	112000	That reminds me!
112000	114000	W-What is it?
114000	115000	I'm sorry!
115000	122000	I was wondering if Sumire-chan and Mei-chan would release the congratulatory video on Oni Natsu Channel...
122000	123000	Natsu?
123000	128000	I said that Natsumi-chan wouldn't do that, but...
128000	131000	You two should confirm it just in case.
131000	138000	Big sister, I think it would be better to stop releasing the congratulatory video for the student president for the completely no-cut version.
138000	139000	Stop!
139000	142000	You don't have to say unnecessary things!
142000	145000	Natsumi-chan, the completely no-cut version...
145000	147000	Now, now, now!
147000	150000	It's time for the radio!
150000	156000	We'll have a fun talk for everyone's love and peace!
159000	161000	Love Live Super Star!
161000	163000	Yu-Gi-Oh! Lunchtime Broadcasting Station!
163000	164000	Rielashi!
164000	167000	Toma Kano and Natsu!
169000	170000	Everyone!
170000	172000	Hello!
172000	175000	I'm Onitsuka Tomori's role, Saku-chan, and I'm Satoko's Chakura.
175000	177000	I'm Shibuya Kano's role, Sayori, and I'm Tate Sayori.
177000	180000	I'm Onitsuka Natsumi's role, Emorin, and I'm Emori Aya.
180000	181000	We are...
181000	183000	Riela!
183000	185000	Nice to meet you!
185000	188000	We'll be back with Toma Kano and Natsu again this week!
188000	191000	Please look forward to it!
191000	195000	This is the last broadcast in November, so...
195000	199000	Everyone, there's only one month left until Christmas!
199000	200000	I'm so happy!
200000	202000	The town is sparkling!
202000	204000	It's been sparkling for a while, but...
204000	208000	Rielashi, I'd like to do something Christmas-like.
208000	209000	I'd like to do it.
209000	210000	Is it okay?
210000	211000	I'd like to do it.
211000	212000	Call me!
212000	214000	Come on, Toyomori-chan!
214000	217000	I want you to call me, but I may not be in order.
217000	218000	I'll bring you home.
218000	220000	I'm sure I'll bring it.
220000	223000	I'm expecting to see you about three months later.
223000	225000	Call me while you're on the phone.
225000	227000	I'll look forward to it!
227000	230000	I'll look forward to seeing you in Santa Claus costumes.
230000	231000	It's the best!
231000	232000	Here you are!
232000	233000	It's like a performance.
233000	235000	Bring me presents!
235000	237000	Please call me!
237000	240000	I'd like you to call me!
241000	242000	Please!
242000	244000	Do you want to see it?
244000	246000	You want to see it, right?
246000	248000	I want to see it.
248000	250000	When Christmas comes,
250000	252000	this year will be over.
254000	256000	It's the end of the year.
256000	258000	We have started cleaning.
260000	262000	Is that your house?
262000	264000	My room?
264000	266000	Why?
266000	268000	Why?
268000	270000	It's amazing, isn't it?
270000	272000	Until October,
272000	274000	my house was in a terrible state.
274000	276000	It was terrible.
276000	278000	In November,
278000	280000	Riella's live performance was calm.
280000	282000	So I had some free time.
282000	284000	So I thought,
284000	286000	now is the time.
286000	288000	I started cleaning water.
288000	290000	That's great.
290000	292000	It's a little crazy.
292000	294000	I did the firework.
294000	296000	I rapped.
296000	298000	I cleaned the waste water tank.
298000	300000	I took a bath.
302000	304000	I have a house.
304000	306000	I have a house.
306000	308000	I have a house.
308000	310000	I have a house.
310000	312000	I want Santa to come.
312000	314000	I want Santa to come.
314000	316000	It's a gift.
316000	318000	Hello, Sayulee.
318000	320000	Please come in.
320000	322000	I'm a fireman.
322000	324000	Fireman?
324000	326000	You're wrong.
326000	328000	I'm a fireman.
328000	330000	I'm a fireman.
330000	332000	Let's do it.
332000	334000	Let's do it.
334000	336000	I can do it.
336000	338000	Let's do it together.
338000	340000	Let's do it together in Santa's clothes.
340000	342000	I'm a master.
342000	344000	Please.
344000	346000	Thank you for watching.
346000	348000	Let's start.
348000	350000	Let's start.
350000	352000	Let's start.
354000	356000	Love Live Super Star
356000	358000	Yu-Gi-Oh! Lunchtime Broadcasting Station
358000	360000	Rie-Rajin
362000	364000	Let's start.
364000	366000	Let's start.
366000	368000	Let's start.
368000	370000	Let's start.
370000	372000	Let's start.
372000	374000	Let's start.
374000	376000	Let's start.
376000	378000	Let's start.
378000	380000	Let's start.
380000	382000	Let's start.
382000	384000	Let's start.
384000	386000	Let's start.
386000	388000	Let's start.
388000	390000	Let's start.
390000	392000	Let's start.
392000	394000	Let's start.
394000	396000	Rie-Rajin
396000	398000	Rie-Rajin
398000	400000	Cleanser
400000	402000	Cleanser
402000	404000	Cleanser
404000	406000	Cleanser
406000	408000	Cleanser
408000	410000	Cleanser
410000	413280	It is a song that conveys that this is also a card.
413280	415800	Not only the chosen people, everyone can shine.
415800	417520	I was pushed back by the lyrics.
417520	420520	I think I can have high motivation to try my best.
420520	421280	That's what it is.
421280	422240	Thank you very much.
422240	423480	Thank you very much.
423480	424960	Next, Rie Rajuneimu
424960	427880	I got it from Tomari no Sakusaku Ebi Fry.
427880	430080	Thank you very much.
430080	432320	I bought a CD of Open the Gate
432320	435800	I listened to High Motivation in full.
435800	440320	Before, Sakuchan said that there was a song like Tomari in No. 2.
440320	442400	I wonder if it's here.
442400	445400	I would like to hear it from Sakuchan.
445400	446280	Thank you very much.
446280	448760	Thank you very much.
448760	450200	I really like this.
450200	453440	Open the Gate's coupling song High Motivation
453440	455880	Full size has already been released.
455880	458200	Oh, good.
458200	461360	I want to hear it from the two of you.
461360	462960	Full.
462960	464760	Isn't it good?
465760	467400	I like it very much.
467400	469440	I also have a favorite part in the lyrics.
469440	470360	Where?
470360	472840	I want to be the only one in the first part.
472840	476960	I want to be the only one in the first part.
476960	479000	This is Mei-chan's part.
479000	480000	Mei-chan's part.
480000	481480	I admire it.
481480	482960	It's a good place.
482960	486360	It's starting.
486360	487360	What about Aya-chan?
487360	488680	I'm really curious about the two of you.
488680	491680	This is ...
491760	500160	All the lyrics are really good.
500160	504760	Popcorn said that.
504760	506280	It's not just the chosen one.
506280	512560	The fact that everyone sings the lyrics that everyone can shine.
512560	518600	This is my favorite part.
518640	521640	This is the first time I've ever seen it on TV.
521640	527320	This is the first time I've ever seen it on TV.
527320	532880	I can't write this lyrics.
