start	end	text
0	5000	- 昨日は大活躍だったね、夏美ちゃん!- さすがはアネジャーです
5000	11000	- えっへん!デン先輩の誕生日祝い、喜んでもらえてよかったですな!
11000	16000	- まさか、ユイガオカのみんなからのお祝い動画を撮影してたなんてね
16000	21000	- 1年生と2年生だけで協力して、私たち3年生に内緒で!
21000	26000	- 私は、生徒の皆さんからデータを送ってもらう方が効率的だと
27000	31000	- そんなんじゃ味気ないですね
31000	36000	- というわけで、鬼夏の突撃収録!
36000	41000	- 生徒会長のハズキレイ先輩へ、誕生日祝いの一言を、どうぞ!
41000	44000	- え、え、私!?
44000	48000	- その、レンちゃん、誕生日おめでとう!
48000	53000	- レンちゃんの真っ直ぐなところ、いつも尊敬してるよ!
53000	59000	- バッチリいただきましたな!この動画も、レン先輩に送りますの!
59000	64000	- もう、急に撮らないでよ!私、そういうの慣れてないんだから
64000	68000	- 慣れていないという割に、しっかりコメントしていましたね
68000	72000	- この通り、カメラ目線も笑顔もバッチリですな!
72000	78000	- アハハハ、夏美ちゃんのノリの良さに乗せられてつい、そうやってみんなを見てくれて
78000	84000	- 夏美ちゃんのノリの良さに乗せられてつい、そうやってみんなを撮影したんだね
84000	88000	- そうです、あの企画は姉じゃなしではなしえなかったでしょう
88000	94000	- 大げさですの、私はただ自分が楽しいからしただけですな
94000	99000	- それって、レンちゃんをお祝いすること、それとも動画を撮ること?
99000	101000	- 当然、両方ですの
101000	105000	- 姉じゃにとって、楽しいは原動力ですから
105000	109000	- 動画配信や動画編集も日々続けられていることと同じです
109000	114000	- うわ!それで思い出した!な、なんでしの?
114000	122000	- ごめんね、スミレちゃんとメイちゃんが、あのお祝い動画を鬼夏チャンネルで公開しないか疑ってて
122000	123000	- 夏?
123000	131000	- 私はね、夏美ちゃんはそんなことしないって言ったんだけど、2人が念のため確認しろって
131000	138000	- 姉じゃ、やはり完全ノーカット版、生徒会長へのお祝い動画集の公開はやめた方がよろしいかと
138000	142000	- 止まり!余計なことは言わなくていいんですの!
142000	145000	- 夏美ちゃん、完全ノーカット版
145000	150000	- さあさあさあ、そろそろラジオの時間ですの
150000	156000	- 後半、みんなの愛と平和のために楽しくトークいたしますな!
161000	164000	- 由宇女ランチタイム放送局、リエラジ!
164000	165000	- トマカノと
165000	166000	- 夏!
169000	170000	- みなさーん
170000	172000	- こんにちはー
172000	175000	- 鬼月と森役、佐久ちゃんこと、佐々木の桜です
175000	177000	- 渋谷花音役、さやりんこと、盾さやりです
177000	180000	- 鬼月夏美役、エモリンこと、エモリアヤです
180000	181000	- 私たち
181000	182000	- リエラです!
182000	185000	- よろしくお願いしまーす!
185000	188000	- はい、今週もトマカノ夏でお届けします
188000	190000	- お願いします
191000	195000	- なんと今回が11月最後の配信ということで
195000	199000	- みなさんクリスマスまであと1ヶ月ですよー!
200000	202000	- キラキラしてきた街が
202000	204000	- ちょっとキラキラしてきましたけれども
204000	207000	- リエラジでもねちょっとクリスマスっぽいことね
207000	209000	- したいなーなんて思って
209000	210000	- いいの?
210000	211000	- いいの?
211000	212000	- 呼んでよ
212000	214000	- トヤモリちゃんおいでー
214000	217000	- 呼んで欲しいけど順番的に多分私絶対いないの
217000	219000	- もう連れてくるから
219000	220000	- 絶対連れてくる
220000	222000	- 絶対次3ヶ月後くらいの予感なんだけど
222000	223000	- 全然電話しながら
223000	224000	- 電話しながらいい
224000	225000	- 電話しながら
225000	226000	- テレビ電話
226000	227000	- 電話しながら
227000	229000	- 元気にサンタクロスのコスプルで参加しながら
229000	231000	- 最高じゃないですか
231000	232000	- いいじゃん
232000	233000	- 演場が一番元気みたいな
233000	235000	- 持ってきてプレゼント
235000	236000	- いい本当に呼んでよー
236000	237000	- 呼んで欲しい
237000	238000	- 呼んで欲しい
