start	end	text
0	11620	でございましたよね皆さんね 本当にまあ今回レオには初めてあの歌唱入り bgm が流れたんですけれどもスタートレイル
11620	20620	収録しました ないつもとは違ういつもね書き下ろししてくださるチームとはまた別のチームでとって
20620	26960	くださって あのまあ今回はあのなんて言ったらいいんですかね結構コーラスというか
26960	31960	掛け声メインのあの収録ではあったんですけれども あの
31960	41080	頑張って聴いていただいたらしほなりにあの掛け声してるねはいはい言ってるんで 聞いてほしいなっていう部分もありますし
41080	47560	これがなんて言うんですかね正真正銘のというか レオにの楽曲というか
47560	54640	いやー 嬉しかったですしあの素敵な演出で
54640	60640	この bgm が流れ っているのがなんかずるいよね
60640	67800	もう泣くしかないじゃんみたいなこんなのね っていう感じで私はちょっとねー
67800	71100	感動してしまいましたねー
71100	78100	本当にフルでほしい確かにねー フルとか作ってもらえるのかちょっとわかんないですけど
78100	84100	声が大きければもしかしたらあるのかもしれないので皆さん言ってってください よろしくお願いします
84100	85100	本当に
85100	86100	あ
86100	87100	ええ
87100	93100	緊張しますよこの規模のステージ立つことあると思いますがどうですか緊張しますか どないと
93100	101400	質問いただきました めちゃめちゃ緊張する私緊張しいなんで
101400	113100	逆に一番なんか初めて大きなステージ立った時はしほちゃんを緊張して このどういう景色がわからないっていうね緊張してたと思うんですけど個人的に私は
113100	121100	あの緊張っていうか何が起きるかわかんないから緊張してないみたいな感じだったんですよ
121100	128100	でいざステージ立ったらやっべーみたいなとんでもねーところで今日ライブするんだっていう感じで緊張し始めたんですけど
128100	131100	そうそうそういう感じで
131100	135100	なんか緊張せずに
135100	139100	ステージに立ったことはないというか
139100	148100	必ず何かしら緊張してますね でしかも今回に関してはねレオニのみんな前座で出てて
148100	152100	こう結構アウェーな会場ではあるっていうことで
152100	164100	まあ自分もたまにねこうなんかまあ知ってはくれているけど楽曲はあんま聴いたことないな みたいな感じのお客さんが多い時ってなんとなく空気感でわかるんですよ
164100	169100	あなんかどうやって乗っていいかわかんないなみたいなの感じる時があって
169100	174100	でそういう時は連れてきてくださいみたいな気持ちになるんですよ私も
174100	186100	だしこのお客さんとのこの距離が遠い感覚もわかるからこそこの7話のみんなの心情とかがすごいリアルすぎて
186100	195100	なんか台本を初めて今回のこのシナリオを読んだ時に まあそのね告知された時のちょっと批判的なコメントだったり
195100	202100	こうね今までやってきた練習がもうちょっとやった方が良かったみたいな内容とかもあるあるというか
202100	209100	もうよくあることすぎてもう私も感じたことあるって思いすぎて台本見て泣いたんですよね
209100	211100	すごい感動して
211100	220100	そうだから7話の収録があの毎回ねゲームの収録って1話ごとに1人ずつ撮っていくんですけどもちろんね
220100	233100	1人で収録するからあの1人で淡々と撮っていくんだけど7話だけはあのやっぱ心のあのなんて言うんですかね気持ちというかその言葉セリフが多いので
233100	241100	モノローグがめちゃめちゃ多いからもう感情結構むき出しでやってくださいみたいな感じで言ってくださったので
241100	251100	わかりましたやりますって言って7話つるっとパーって撮った後あOKですみたいな一発で撮れちゃってこのストーリーの時
251100	266100	いやもうなんかそれぐらい私もなんか感情移入を自然とできる台本だったのですごくリアルに表現してくれているんだなっていう気持ちにもなったし
266100	277100	それが伝わったのではないかなというかうんうんそうなの7話つるっと一発撮りできちゃってそう私はびっくりしました本当に
277100	288100	なんでねぜひあのまあこのシーンだけじゃなくまあ1話通して8話つるっと皆さんにはもう一度再度読んでほしいなっていう気持ちもありますし
288100	298100	あのー各カードにねついているねお話もありますのでそれもね読んでほしいなっていう気持ちがありますよ
298100	302460	そうリアルのストーリーでしたミュートに
302460	311560	すごくいいお話だし演出もすごいしあのなんかカードのイラストがちょっと動くのってエモいよね
311560	318080	あれ勝手に思ってるんですけど常にあれにならないんですかあの仕様にならないですか
318080	326760	あのーねカードゲットした時星4だけでもいいんでちょっとぬるっと動くようになってほしいなって気持ちがあるのでここで言っておきます
326760	331560	さあということでストーリーについては以上でございます
331560	332060	えー
