start	end	text
0	7720	はーいということでイヴさんに書き下ろししてくださいました
7720	9840	シンパシーを聞いていただきました
9840	13700	いやーいい曲ですねこの楽曲
13700	17580	もう本当に今回初めてですね
17580	20740	私キーチェックというものをさせていただきまして
20740	25700	イヴさんの楽曲をその他聞いたことある方は
25700	27720	ご存知だと思うんですけれども
27720	33040	イヴさんの作る楽曲って低くて高いっていう感じで
33040	37380	すごい音域が広い楽曲を作られることが多くてですね
37380	41340	出来上がった楽曲もそういう感じになっていますと
41340	44860	お話をいただいてキーチェックをしてくださいと言われて
44860	47480	おー怒りましたっていう話をして
47480	52820	なんでキーチェックをしたかっていうと
52820	57580	司法的にやっぱり低音を聴かせるような楽曲が
57580	62080	まあ結構多いというか司法のイメージだと思うんですけど
62080	68040	あまりにも高すぎると司法のイメージ感とブレちゃうねっていうお話をしてて
68040	73520	だからあのサビのこだましての部分をできるだけ
73520	77740	あの地声で張ってほしいみたいなお話をいただいていて
77740	86100	地声で出るかつ低音も出るキーどこですかっていうのを委ねてくださって
86100	92120	元々いただいたキーで大丈夫そうですっていう話で元気のままいきましたね
92120	95520	低くするとBメロがめちゃめちゃ低いんで
95520	97440	あのみんなが出なかった
97440	100660	私だけ出るけどみんな出ないとかになっちゃうから
100660	104580	まあでも元気だったらあのサビも地で張れて
104580	107060	あのまあ高い部分後半の方高いけど
107060	110740	あのーなんとか採用できますってお話をして
110740	114280	そう元気でいきました今回は
114280	116720	そうなんですよ結構司法って
116720	120640	あの他の楽曲とかだとピーキーピーキーとか
120640	123640	あのー聴いていただくと分かるんですけど
123640	125920	アナザーボーカルの方かなだと
125920	128440	あのーカイトさんのパートの部分
128440	130640	あのーとかは
130640	131920	えっとね
131920	135980	えっとね奥下で歌わずに
135980	138440	あのー元気で歌ってはいるんですけど
138440	141380	一応収録としては奥下も撮ってて
141380	143180	カイトさんと同じキーで撮ってて
143180	145620	まあ最終的にスタッフさんの判断で
145620	149060	どっちかを使うとかっていう風にやってもらうことが多くて
149060	151980	まあまあ素材はねいつも撮ってるんですよ
151980	155620	だけどあのーエイプリルフールであった
