start	end	text
0	29980	ご視聴ありがとうございました
30000	59980	ご視聴ありがとうございました
60000	89980	ご視聴ありがとうございました
90000	119980	ご視聴ありがとうございました
120000	149980	ご視聴ありがとうございました
150000	179980	ご視聴ありがとうございました
180000	210000	
210000	240000	
240000	269980	ご視聴ありがとうございました
270000	299980	ご視聴ありがとうございました
300000	329980	ご視聴ありがとうございました
330000	360000	
360000	390000	
390000	420000	
420000	450000	
450000	480000	
480000	510000	
510000	540000	
540000	570000	
570000	600000	
600000	629980	ご視聴ありがとうございました
630000	659980	ご視聴ありがとうございました
660000	689980	ご視聴ありがとうございました
690000	719980	ご視聴ありがとうございました
720000	750000	
750000	780000	
780000	810000	
810000	840000	
840000	870000	
870000	900000	
900000	930000	
930000	960000	
960000	990000	
990000	992000	ご視聴ありがとうございました
1020000	1050000	
1050000	1080000	
1080000	1110000	
1110000	1140000	
1140000	1170000	
1170000	1200000	
1200000	1230000	
1230000	1260000	
1260000	1290000	
1290000	1320000	
1320000	1350000	
1350000	1380000	
1380000	1410000	
1410000	1440000	
1440000	1470000	
1470000	1500000	
1500000	1529980	はいありがとうございます
1529980	1559980	
1559980	1589980	
1589980	1619980	
1619980	1649960	ご視聴ありがとうございました
1649960	1652440	よいしょ
1652440	1654700	はい今回は
1654700	1654960	あの
1654960	1657920	いちっていう名前にしました
1657920	1659600	ではでは
1659600	1660240	いちか
1660240	1663240	見ていくぞ
1663240	1664180	よいしょ
1664180	1666080	特訓後
1666080	1669120	めっちゃ可愛くないですか
1669120	1672380	いちかが先頭で歩んでって
1672380	1673820	こういう
1673820	1675260	コメントだよね
1675260	1677660	いちかの曲に対するコメントが
1677660	1678860	こんだけ書かれてて
1678860	1680740	めちゃくちゃ可愛い
1680740	1683600	大好き本当楽しそうだし
1683600	1685860	なんか今回赤がね
1685860	1687720	ちょっとお衣装使われてたりして
1687720	1689560	それもなんかインパクトがあって
1689560	1691680	すっごい可愛いし
1691680	1693620	このコメントもいいよね
1693620	1696260	この曲聴いて頑張るとかね
1696260	1697940	めちゃめちゃ可愛くて
1697940	1698680	すごく綺麗
1698680	1702440	でっかいポスターにして飾りたいよね
1702440	1703620	すごく素敵
1703620	1706300	じゃあまあ特訓前もね見ていこうかね
1706300	1707560	はい
1707560	1709040	びっくりしてますね
1709040	1711560	葵さんからきっとDMが来た時の
1711560	1713440	じゃないかなと思うんですけど
1713440	1716120	こうサボテン映ってるのいいよね
1716120	1718920	布団の中っていうのもいいよね
1718920	1720160	可愛い
1720160	1721920	まあびっくりしただろうね
1721920	1723520	憧れのクリエイターさんから
1723520	1724640	DMもらって
1724640	1726600	なんだなんだって思ったらね
1726600	1728500	すごく素敵なDMで
1728500	1729680	嬉しかったな
1729680	1731840	嬉しかったんだろうなと思いますけど
1731840	1733160	いいなぁ
1733160	1735160	日常のね絵も素敵だよね
1735160	1737160	それでホナちゃん
1737160	1739040	可愛い
1739040	1741040	めっちゃ可愛い
