start	end	text
0	7260	はいみなさんこんばんはコンニードレオニード星野一華役の野口瑠璃子です
7260	15480	さてこのプロセカアフタートークは皆さんからいただいたお便りを紹介しながらイベントを振り返るという番組です
15480	19660	今回は君とつなぐハートビート編となっております
19660	23400	皆さんストーリーはお楽しみいただけましたでしょうか
23400	35080	今回のストーリーはなんか幸せっていう感じで台本読みながら本当にいいのかなって思っちゃうぐらいいいことばっかりですごく幸せでしたし
35080	41240	なんかこう人と人とのつながりの温かさとか大事さを感じたそんなストーリーだったなと思います
41240	44820	この後も振り返っていけたらなと思うのでよろしくお願いします
44820	49360	そしてアフタートークがプチリニューアルいたしまして
49360	55120	事前にプロセカ公式ディスコードとメールにてアフタートークへのお便りを募集しておりました
55120	56880	皆さんたくさんありがとうございます
56880	62700	いただいたお便りを番組内で紹介させていただきますのでぜひぜひお楽しみに
62700	68540	またイベントやこの放送の感想をハッシュタグプロセカアフタートークでポストしてください
68540	73260	youtubeのチャットも見ておりますので気になるコメントはどんどん拾っていきます
73260	76920	コンニーだーってたくさん来ておりますよありがとうございます
76920	80500	さっき読み終わりましたって駆け込んでいただいてありがとうございます
80500	81600	ありがとうございます
81600	85940	じゃあ早速始めていきたいと思います
85940	92900	それでは早速今回の君とつなぐハートビートのストーリーについてお話しできればと思います
92900	96540	皆さん改めて今回いかがでしたでしょうかね
96540	100160	お便りを紹介しながら振り返っていけたらなと思います
100160	103840	まずはみそらさんからのお便りです
103840	108220	野口さんこんばんはこんばんはいつも素敵な声をありがとうございます
108220	109560	こちらこそありがとうございます
109560	112220	今回のイベストを読んでいて
112220	120080	いちかちゃんがみくちゃんへの強い思いを曲に込めるというところがすごく感動&ほっこりにっこりしてしまいました
120080	124360	ラストのしほちゃんの意味深な感じもすごく気になります
124360	128520	何はともあれいちかちゃんが楽しそうでこちらも幸せになりました
128520	131100	とのことですみそらさん感想ありがとうございます
131100	138440	今回は私にとってのみくっていうテーマでいちかが曲を作りまして
138440	140820	みくといちかのこれまでを詰め込んだ楽曲
140820	143380	withっていう楽曲を作ったんですけれども
143380	148900	作ってアップしてそしたら葵さんっていうクリエイターの方から声をかけてもらって
148900	153100	MV作ってそれがすごく再生してもらって
153100	155100	いろんな広がりを見せていって
155100	157360	なんか本当最初も言いましたけど
157360	162280	なんかこんなに幸せでいいのかなって思っちゃうような
162280	166100	なんか喜びとか嬉しさとかそういうのが詰まったストーリーで
166100	168060	なんか嬉しかったですね
168060	174040	いちかのそのなんか目標としてる音楽で人と人をつなげていくっていうのが
174040	175300	もう達成された
175300	177480	まあまだ一歩目だと思いますけど
177480	181500	このいちかが願ってたことが叶ったようなお話だったので
181500	187900	私もなんかすごく晴れやかで嬉しい気持ちを満載に演じさせていただいた記憶がございます
187900	193420	ねそしてしほちゃんの意味深な感じもすごく気になりますって書いてくださってますけど
193420	196720	どうですかね皆さんどう感じました
196720	203500	しほはしほはあのいちかすごく楽しそうだなっていう言葉を残して終わったんですけど
203500	207640	まあなんか私としてはまあ確かになって
207640	209740	ちょっともやっとする気持ちも
209740	213660	しほはまだそんなにもやっとではないと思うんですよ
213660	217140	なんだろうこの気持ちはみたいな感じなのかなと思うんですけど
217140	219560	まあ確かにやっぱしほちゃんってね
219560	223280	バンドねバンドやっぱ真剣に向き合ってて
223280	224440	もうみんなそうなんだけど
224440	226540	でもそんな中でいちかがこう
226540	229940	まあ一人でねミクさんの曲を作ってっていうところで
229940	233220	まあ何か感じることがあったんだろうなって思うんですけど
233220	238040	まあこれからどんなねストーリーになっていくのか私全然知らないんですけど
238040	241660	まあバンドってそんな感じなのかな
241660	242520	わかんないけど
242520	246880	なんかでもほらミクさんで曲を作ってるけど
246880	250120	自分でバンドもやってますっていう方たくさんいるじゃないですか
250120	252680	だからいちかもまあそういう感じで
