start	end	text
0	9340	はいありがとうございます8話を一緒に見ていきました
9340	13580	今回このシーンをピックアップさせていただいたのは
13580	17920	やっぱり四方から曲に込めた思いと違うところでね
17920	22020	ファンアウトが広がっていったりとか派生作品が作られていくことが
22020	26000	嫌じゃないのって聞かれてそれが面白いとか嬉しいって答えたのが
26000	28460	すごく私は印象深くて
28460	34080	なんかねこの曲はこうですって決めてるクリエイターの方もいると思うんですけど
34080	37460	いちかはそうじゃなくて自分の曲でどんどん広がっていく
37460	44280	人と人が繋がっていくっていうのが嬉しくて面白いって考えられる子なんだなって感じて
44280	48420	いちからしい素敵だなって思ったのと同時に
48420	52600	ちょっとねコメントもザバザバとか書いてくれてますけど
52600	56660	まあいろんな考えがあるからね
56660	60840	さきちゃんはね近いところで書いてくださってる方もいたけど
60840	64580	近いところのみんなとのコミュニケーションも好きだったりとか
64580	68860	今回みたいにいちかがいろんなところで広がっていくのが楽しかったりとか
68860	73440	それぞれレオニのねなんか思いがあるので
73440	78020	まあ今後どうなっていくのかなっていう思いはちょっとよぎったんですけど
78020	86120	でもやっぱこのミクさんへの思いを曲にしてこれだけ広がったっていうのは
86120	89000	すごくいちかにとっても喜ばしいことだし
89000	92200	とにかく幸せな話だったので
92200	97340	これからも作り続けてほしいなっていう気持ちはとてもあります
97340	100920	はい皆さんもコメントありがとうございますね
100920	103160	どうなってしまうのかみたいな
103160	106960	音楽の方向性の違いって書いてる人もいますけど
106960	109340	まあ分かんないですからね私も知らないし
109340	111120	どうなっていくのか分かんないけど
111120	115520	んーまあでも今回はね幸せだったっていうことで
115520	119260	見しておいていただいてねまだまだまだまだ分かんないですから
119260	122400	はいそんな分かんない私も本当に知らないので
122400	124900	もうとにかく見守っていきたいし
124900	127540	いちか的にいちかのまあキャストとしては
127540	130800	いちかの幸せなことをどんどんしていってほしいなと思うので
130800	135060	いい方向に転がっていくといいなとなんとなく思っております
135060	138380	はいあの一緒にコメントも見ていただいてありがとうございます
138380	145500	ではでは続きましてカードイラストも一緒に見ていければと思います
145500	150280	せっかくなのでイラストを実際に見ながらお話ししていきたいと思います
150280	152440	よいしょ
152440	157920	はい今回はあのいちっていう名前にしました
157920	160240	ではではいちか
160240	163240	見ていくぞ
163240	164160	よいしょ
164160	166060	特訓後
166060	169100	これめっちゃ可愛くないですか
169100	172360	いちかが先頭で歩んでって
172360	175240	こういうコメントだよね
175240	178840	多分いちかの曲に対するコメントがこんだけ書かれてて
178840	181300	もうめちゃくちゃ可愛い
181300	183580	大好き本当楽しそうだし
183580	187700	なんか今回赤がねちょっとお衣装使われてたりして
187700	189580	それもなんかインパクトがあって
189580	191640	すっごい可愛いし
191640	193600	このコメントもいいよね
193600	196180	この曲聴いて頑張るとかね
196180	198680	めちゃめちゃ可愛くてすごく綺麗
198680	202420	こうなんかでっかいポスターにして飾りたいよね
202420	203620	すごく素敵
203620	206160	じゃあまあ特訓前もね見ていこうかな
206160	209120	はいびっくりしてますね
209120	213900	葵さんからきっとDMが来た時のじゃないかなと思うんですけど
213900	216100	こうサボテン映ってるのいいよね
216100	218860	布団の中っていうのもいいよね
218860	220140	可愛い
220140	221900	まあびっくりしただろうね
221900	224660	憧れのクリエイターさんからDMもらって
224660	226580	なんだなんだって思ったらね
226580	228480	すごく素敵なDMで
228480	229660	嬉しかったな
229660	231960	嬉しかったんだろうなと思いますけど
231960	232780	いいな
232780	235620	日常のねでも素敵だよね
235620	236600	それでホナちゃん
236600	239100	可愛い
239100	240760	めっちゃ可愛い
240760	242100	ウインクしちゃって
242100	243380	可愛い
243380	246540	翔ちゃんはやっぱ髪の色ともお衣装合ってて
246540	249180	すごく素敵ですよね
249180	252060	なんかドラムこんなカラフルなんだ
252060	254060	すげー可愛い
254060	255500	いいな
255500	257900	背景もめっちゃ綺麗だし
257900	260100	コメントのみんなもたくさんいて
260100	262220	めちゃめちゃ可愛い
262220	263020	いいな
263020	265140	特訓前も見ていきましょう
265140	266820	あっ
266820	270700	可愛すぎるこれ
270700	272420	弟
273380	275660	これすごい隅々まで見たい
275660	277540	めちゃめちゃ可愛い
277540	279580	いいな
279580	280660	兄弟
280660	283820	めちゃめちゃ可愛い
283820	285040	春くんね
285040	286860	めっちゃ話題になった
286860	287100	そう
287100	288360	私もびっくりした
288360	290540	こんな可愛い
290540	291620	びっくりした
291620	294160	春くんほんとかわいいよな
294160	294480	なんか
294480	297720	これからもどんどん出てきてほしい
297720	299020	可愛い
299020	299720	わかる
299720	303380	日常の一コマ感すごい好きって言ってくれてますけど
303380	303880	確かに
303880	306500	やっぱおなちゃんといえばお料理ですよ
306500	308880	おなちゃんは包丁を使うんだろうな
308880	309620	ね
309620	312360	はい
312360	312800	しほ
312800	315120	かっこいい
315120	316440	しほ
316440	319920	いい子のなんかちょっと挑戦的な意味というか
319920	322040	しほらしくてすごい素敵だし
322040	324380	いくぞみたいな顔でいいよね
324380	327720	あーどうなるんだろうな
327720	333260	いやーなんかみんな幸せになってほしい
333260	333840	ね
333840	335360	しほの赤いパンツかな
335360	335820	これも
335820	337360	めっちゃかっこいいよな
337360	339920	いいななんか壮大で
339920	341400	イケメンって書いてある
341400	342740	わかる
342740	344820	しほらかっこいい
344820	346420	かわいいしかっこいい
346420	347380	ほんと
347380	349460	素敵大好き
349460	349680	あ
349680	351420	とくまえ
351420	353540	チューニングしてるー
353540	354920	かっこいい
354920	356460	ベーシスト
356460	359540	いつもこんな感じでやってんのかな
359540	360560	クールにさ
360560	363620	ここ窓辺にいるし
363620	364740	ね
364740	366500	やっぱ教室いいな
366500	368440	この日差しの感じとかも
368440	370580	めちゃめちゃ青春だよね
370580	372560	めちゃめちゃ素敵
372560	374140	横顔いいなしほの
374140	375760	大好き
375760	376160	よいしょ
376160	378520	じゃあめいこさん
378520	379700	よいしょ
379700	380780	はぁ
380780	382240	かわいい
382240	382880	飛んでる?
383220	384020	飛んでるのこれ
384020	385640	かわいい
385640	387500	いいなあ
387500	389160	めいこさんはやっぱ頼りになるし
389160	389980	かっこいいし
389980	391560	そしてかわいいし
391560	394180	やっぱ今回やっぱお衣装すごく
394180	396460	華やかでね明るくて
396460	397580	レオニってやっぱちょっと
397580	400120	ブルー系のイメージがあるけど
400120	401440	この赤な
401440	401980	なんていうの
401980	403040	朱色っていうの
403040	404620	すごくね
404620	405620	新鮮で
405620	407060	でもみんな似合ってて
407060	408720	めっちゃかわいいですよね
408720	411360	ドックン前も見ちゃおう
411360	411560	あ
411560	412660	あー
412660	413540	いい
413540	416500	569っていう方
416500	417620	いい
417620	422380	やっぱねいつもこうバーチャルシンガーのみんなは
422380	424440	レオニードのメンバーに
424440	426720	いろんなアドバイスとかお話ししてくれて
426720	430780	やっぱみんながいるからレオニード前に進めてたり
