start	end	text
0	5000	二人とも! 今朝は頑張ったね! 偉いよ!
5000	9000	ん? ありがとうですの、カノン先輩
9000	12000	今朝もいつも通りの朝練だったかと思いますが
12000	15000	いつも通りに出来てたから偉いんだよ!
15000	19000	後で知ったんだけど、大雨の影響で電車が遅れてたんでしょ?
19000	24000	そういえば、今朝はなかなかハードな投稿でしたの
24000	26000	ギリギリではありましたが
26000	28000	遅刻にならず良かったです
28000	31000	こんな日もあろうかと、四季先輩に制作いただいた
31000	35000	鬼塚姉妹専用高機動型牛食移動マシンが役に立ちました
35000	37000	それと、止まりが用意した
37000	42000	一秒の無駄もない最大効率の全速力コース
42000	46000	できればもう二度とやりたくないですの
46000	49000	はっはっは、夏美ちゃんぐったりしてたよね
49000	52000	でも、今更だけど、二人は…
52000	55000	いやー、実は自分でも不思議ですの
55000	60000	夏美ちゃん、1年生の時から、しっかり朝連に参加してたよね
60000	62000	うーん…
62000	66000	もっともっと、スクールに参加してもらおうか
66000	68000	そうか、そうか
68000	70000	そうか、そうか
70000	72000	そうか、そうか
72000	74000	そうか、そうか
74000	76000	そうか、そうか
76000	78000	そうか、そうか
78000	80000	そうか、そうか
80000	85000	もっともっと、スクールアイドルとして成長したいって思うようになったら
85000	88000	朝になると自然に目が覚めて…
88000	89000	わかるよ!
89000	93000	早く学校に行って、みんなに会いたいって思うよね!
95000	97000	きっとそれですの!
97000	101000	リエラに加入したことで、姉ちゃんは自分のためではなく
101000	104000	皆さんと夢を追いかけたいと思うようになったのですね
104000	109000	そうやって改めて言われると、ちょっと恥ずかしいですの
109000	112000	うんうん、全然恥ずかしいことじゃないよ
112000	116000	みんなで夢を追いかけることって素敵なことだもん
116000	120000	はい、私も姉ちゃんと一緒に夢を叶えたいです
123000	128000	みんなと夢を見るのって、やっぱり楽しい!
131000	136000	今のなつみちゃんの話を聞いて、私感動しちゃった!
136000	141000	今すぐ三人で一緒に走ろう!あの夕日に向かって!
141000	146000	ああ、突然チサト先輩みたいなこと言い出しましたの
146000	149000	チサト先輩もさすがに言わないと思います
149000	152000	それと今はお昼ですので夕日はありません
152000	158000	走るのはともかくとして、そろそろみんなでラジオ始めますの!
158000	159000	はい!
167000	172000	ラブライブスーパースター、リュウイジョーランチタイム放送局、リエラシン
172000	175000	とまかのと、なつお!
177000	180000	みなさん、こんにちは!
180000	182000	渋谷かのん役、さやりんこと、たてさやりです
182000	185000	鬼塚とまり役、さくちゃんこと、さかくらさくらです
185000	187000	鬼塚なつみ役、えもりんこと、えもりあやです
187000	192000	私たち、リエラです!よろしくお願いしまーす!
192000	198000	わーい!今回はお姉ちゃんが来てくれましたので、とまかのなつでお届けします!
198000	200000	かわいいなー!
200000	201000	なつ!
201000	203000	久しぶりじゃないの?
203000	209000	どうやら4ヶ月ぶりだし、最後に来たのが7月頃だったということで
209000	214000	秋を越してね、冬にやってきました、なつから冬に
214000	216000	いいじゃない?なつから冬のこり?
216000	217000	なつから冬へ?
217000	218000	狙ってのあれだよ
218000	236000	今週の日曜日、11月23日は勤労感謝の日ということで、月曜が振り返休日で3連休、なんと11月は3連休が2回あるみたいですよ
236000	238000	すごいじゃん!
238000	241000	みんななんかどっかお出かけしたりするのかな?
241000	246000	ぜひぜひリエラのメンバーの握手とかね、連れて行ってあげてください!
246000	248000	行ってきまーす!
248000	251000	やっていただいて、ぜひぜひ
251000	255000	いかさせていただきまーす!
255000	257000	なつみちゃんはどこに連れて行ってほしいの?
257000	259000	私、なつもね
259000	265000	なつも、せっかくだったらやっぱり、牛くだいぶちゅ!
265000	266000	かわいい!
266000	269000	もう克服したかな、怖いの
269000	275000	どうかなー、ちょっとね、ピッピッってなに、ちょっと腰引けちゃうよね、まだね
275000	279000	みんながいっぱい連れて行ってくれたら克服できるかもしれない
279000	281000	間違いないね
281000	283000	かのん先輩は?
283000	286000	かのん先輩は、かのん先輩、かのん先輩!
286000	290000	なんか、ふくろうのところに、ふくろうのところってなんだ?
290000	292000	ふくろうカフェ
292000	298000	ふくろうカフェですね、なるべく外に出ていただいてね、アウトドアに
298000	300000	私が出ないので
300000	301000	あら?
301000	304000	そのかわりにかのんを連れて行ってください
304000	305000	はい、とまちゃんは?
305000	307000	とまちゃんはやっぱ水族館かな
307000	308000	いいね
308000	310000	いいじゃん、冬の水族館いいよね
310000	314000	くらげをね、見せてあげると喜びますので、彼女は
314000	316000	よろしくおねがいします
317000	324000	そしてそして、来週の月曜日、11月24日ですが、はずきりんちゃんのお誕生日でございます
324000	326000	めっちゃおめでとう
326000	330000	皆さん、ぜひ当日お祝いしていただけたらなと思います
330000	332000	お願いします
332000	334000	それでは皆さん、最後までお付き合いよろしくお願いします
334000	341000	ラブライブスーパースター、ユイジョウランチタイム放送局、リエラジ、レッツ、スーパー、スタート!
343000	348000	ラブライブスーパースター、ユイジョウランチタイム放送局、リエラジ!
352000	356000	皆さんからのお便りを紹介する、ユイガオカ女子高等学校投書箱のコーナー
