start	end	text
0	7660	今日はスミレ先輩とラジオなのですね
7660	10260	ええよろしくねトマリ
10260	15260	どうしたのトマリちゃんスミレちゃんのことをじーっと見て
15260	17860	決まってるじゃないカノン
17860	22120	憧れの上級生を前にして見とれているのよ
22120	24440	もう言わせないでよ
24440	27140	いいえそういうわけではありません
27140	30560	違うみたいだよ残念だったね
30560	35120	いいわよ別にじゃあなんだったのよ
35120	40000	また私と夏美がキャラかぶりしてるって言いたいの
40000	43420	普通にキャラかぶりっていいのよ
43420	51880	確かにスミレ先輩も姉じゃもテンションの高さが特徴で配信活動を行っていて
51880	55400	かつ流行に敏感なところも似ていますが
55400	59820	そうやって言われてみると確かに二人は近いところあるよね
59820	63040	あれからスミレ先輩のナレッジを収集して
63040	66280	姉じゃと違うところがたくさんわかるようになりました
66280	69880	あら私のことを勉強したの
69880	74040	つまりファンになったってことよね
74040	79220	可愛い後輩にサインを書いてあげようかしら
79220	80360	結構です
80360	83940	なによ可愛くないわね
83940	88460	まあまあ後輩の言葉で拗ねるなんて大人げないよスミレちゃん
88460	90280	拗ねてないわよ
90280	94180	それでとまりは私のどんなことを知ったの
94180	98300	スミレ先輩は子役から芸能活動をしていますが
98300	101060	当時主役を務めたことはないそうですね
101060	105640	この子ったらいきなり痛いところ
105640	110380	それでもスミレ先輩は一度や二度挫折したくらいでは
110380	112280	芸能活動をやめませんでした
112280	114440	そうなんだよ
114440	118900	って私も当時のスミレちゃんのことを知っているわけじゃないんだけど
118900	123220	目を輝かせて様々な夢に挑戦していた姉じゃとは
123220	125860	また違う向き合い方だと感じました
125860	130120	もちろんどちらが良いという話ではありませんが
130120	131260	とまり
131260	135160	うんいろんな夢に挑戦した夏美ちゃんも
135160	137900	主役の夢に挑戦し続けたスミレちゃんも
137900	139380	どっちもかっこいいよね
139380	141120	かっこいい
141120	144840	そうですね姉じゃはかっこいいです
144840	147300	そしてスミレ先輩も
147300	147580	え?
148580	149140	あー
149140	153660	なんかそんなこと言われると照れくさいわね
153660	158020	姉じゃも褒めるとそうやって照れることが多いです
158020	162540	確かに恥ずかしいですのーって言ってる気がする
162540	165480	はいはい無駄話はここまで
165480	167460	ほらラジオ始めるわよ
167460	169260	スミレちゃん
169260	171380	顔赤いよ
171380	173880	うるさい
173880	183400	ラブライブスーパースター
183400	185500	ユイジョナルタイム放送局
185500	186480	リエラジ
186480	188900	トマカノとスミ
188900	192860	皆さん
192860	194400	こんにちは
194400	197280	柴谷加納役さゆりんことたてさゆりです
197280	200120	鬼塚とまり役さくちゃんことそこからさくらです
200120	203180	ヘアンナスミレ役ペイちゃんことペイとなおみです
203180	208300	私たちリエラですよろしくお願いしまーす
208300	210400	わーい来た来た
210400	211560	久しぶりー
211560	213800	来てくれましたー久しぶりー
213800	215420	お久しぶりです
215420	219220	ということで今回はトマカノスミレお届けしまーす
219220	220220	おねがいしまーす
220220	221340	おねがいしまーすよー
221340	222340	おねがいしまーすよー
222340	223340	おねがいしまーすよー
223340	224340	なんかさっそくね
224340	225340	ユイちゃんから
225340	229840	何やら言いたいことがあるらしいっていうちょっとカンペが出ていますけど
229840	231020	え、なんで?なになになに?
231020	231840	なんですか?なんですか?
231840	233340	いや、ほんとに許せないことがあって
233340	234340	え、許せない?え、なに怖い怖い怖い怖い
234340	238240	なに reason giving
238240	238820	なに!?激うこ・・・
239880	241960	まてなに?なに?なに?なにめてよくも言ってくれたな
241960	242780	なに!?
242780	243920	覚えてないかw
243920	245120	なに!?なに!?なに!?
245120	247120	好きが一番怖い!
247120	251120	皆さん、私今回の7月ぶりの出演なんですけど
251120	255120	7月からこの12月2日の間に一度だけ
255120	259120	チャットの方で出演したことがありましたね
259120	260120	チャット?
260120	261120	待って待って待って
261120	266120	放送中に私からチャットでメッセージが送られてくるという
266120	268120	事件があったと思うんですけど
268120	269120	やったやったやった
269120	272120	その時何て言ったか伊達さん覚えてますか?
272120	276120	ペイコは返信が遅いとかって言ってた気がする
276120	278120	返信が遅いから
278120	280120	リーちゃんがいたんだよねそこに
280120	281120	リーちゃんもいて
281120	285120	リーちゃんがペイに今から連絡してみるって言って
285120	289120	ペイコ遅いから帰ってこないんじゃない?みたいなこと言った気がする
289120	290120	はい
290120	292120	素晴らしい
292120	294120	なんで怒るの?それ
294120	296120	なんで怒ってんの?それ
296120	299120	伊達さゆり、そしてリーユ、大熊和奈
299120	301120	和奈ちゃんも
301120	304120	3人でペイトン返信遅いからなぁと
304120	307120	よくも散々馬鹿にしてくれたなぁ
307120	309120	なんでそんなこと
309120	312120	私6分で返信してまーす
312120	314120	皆さん聞きました?
314120	317120	私6分で返信してまーす
317120	318120	はい
318120	320120	怖い怖い怖いほんと怖い
320120	321120	なるほどね
321120	323120	ほんとに許せないと思ってないか
323120	324120	今日はねあのね
324120	325120	物妄想と思ってね
325120	326120	やってきましたね
326120	328120	顔真っ赤じゃんかもう
328120	330120	ペイちゃんそんな遅いイメージないけど
330120	331120	え、だよね
331120	334120	やっぱねあのリエラの両親第2号はもう策に決まり
334120	336120	第1号は?
336120	337120	第1号は?
337120	338120	第1号は?
338120	339120	え、私は?
339120	340120	ペイトンだった
340120	343120	やっぱねあの私の意思を受け継ぐものとしてね
343120	344120	受け継げたわ
344120	346120	正式な後継者として
346120	347120	うん
347120	350120	え、でもちょっと聞き返してほしいなあんなら
350120	353120	あのさ返信遅いって言ってるの確か僕もだったぞ
353120	355120	いやあなたも言ってたわよ
356120	357120	忘れてるな
357120	358120	ねぇごめんじゃ
358120	359120	じゃあごめんだわ
359120	362120	皆さんあのー証拠となる放送回
362120	364120	過去のアーカイブの方で確認できますので
364120	367120	ぜひご自分の耳で確認してください
367120	369120	今あのこれこの回だけ聞いてみんな
369120	370120	戻らなくていい
370120	371120	戻らなくていいよ
371120	372120	はい
372120	373120	やだもー
373120	374120	確かに6分早いね
374120	375120	そうだよ
375120	376120	確かに早かったわ
376120	377120	あん時すごい早かった
377120	378120	ね
378120	380120	そうだよしかも電車塗る前に変身してるから
380120	381120	あん時って
381120	382120	あん時は早かった
382120	383120	あん時は
383120	385120	いやあのこれに関しても言いたいけど
385120	386120	ねねねね
386120	387120	だってさーん
387120	388120	あのー
388120	390120	既読1週間つかないとかあるから
390120	391120	ありますね
391120	392120	あるでしょ
392120	393120	あるよね
393120	395120	だってそれも会話終わってるもんそこで
395120	397120	終わってないよ
397120	398120	終わってるじゃん
398120	399120	終わってないよ
400120	401120	既読もあんだね
401120	402120	勝手に判断しちゃって
402120	403120	あんまこれ終わりかなみたいな
403120	405120	判断しちゃう
405120	406120	既読はつけろ
406120	409120	でもリエロで一番早いの誰なんだろう
409120	410120	へー
410120	411120	誰だろうね
411120	413120	私ユイナは結構早いイメージ
413120	414120	ユイナは早いね
414120	415120	ユイナは早いね
415120	416120	ユイナも早いの確かに確かに
416120	417120	ユイナとあとナコも早いかも
417120	418120	あーナコ早いわ
418120	419120	あー確かに確かに
419120	420120	うんうんうん
420120	421120	ね
421120	422120	そうね
422120	424120	何何何何よ何よ
424120	425120	いいじゃん
425120	426120	遅いのもいいよ
426120	427120	遅いのも
427120	428120	遅くない
428120	429120	あなたは遅いですから
429120	430120	いや一週間考えたい
430120	432120	そのメッセージ考えてんだよ
432120	433120	あそうなんで
433120	434120	そう
434120	435120	帰ってきたことないけどな
435120	436120	その一週間越しに
436120	437120	わかる
437120	438120	なんで返せばいいかな
439120	440120	はい
440120	441120	ありがとうちょっと伝えてくれて
441120	442120	はい
442120	443120	ねえ
443120	445120	ごめんね
447120	448120	そういうことね
448120	449120	はい
449120	450120	いいよ
450120	451120	いいよ
451120	452120	怒ってないよ
452120	453120	よかった
453120	454120	今のごめんね
454120	455120	よかったー
455120	456120	ごめんねってやったら
456120	457120	いいよって返せって
457120	459120	保育園の先生から教わってきたんだよ
459120	460120	返さなきゃいけないやつ
460120	461120	そう
462120	463120	いいよ
463120	464120	じゃあ仲直りということ
464120	465120	仲直りだー
465120	466120	よかったー
466120	467120	よかった
467120	468120	これでラジオ今日も楽しくできる
468120	469120	よかったー
469120	470120	よかったー
470120	471120	一期生のわだかまりがほどけましたよ
471120	472120	よかったよー
472120	473120	そうです
473120	474120	ずっとバチバチだったからー
474120	475120	というかやめてよ
475120	476120	本当に良かった
476120	477120	本当に良かったー
477120	478120	やめてー
478120	482120	うーことでちょっとオープニングなくなってしまいましたけれども
482120	484120	あの本日配信日の本日12月2日
484120	488120	なんとサニーパーションのひいらぎまおちゃんのお誕生日ということで
488120	491120	まおさままおさんお誕生日おめでとうございます
491120	492120	おめでとうございます
492120	495120	ぜひ皆さんたくさんお祝いしていただければなと思います
495120	496120	いきましょう
496120	499120	ということでちょっと中もねより深まったということで
499120	501120	最後までお付き合いよろしくお願いします
501120	504120	ラブライブスーパースターゆいじょランチタイム放送局リエラジ
504120	505120	レッツ
505120	507120	スーパースタート
507120	512120	ラブライブスーパースター
512120	515120	ゆいじょうランチタイム放送局リエラジ
515120	523120	皆さんからのお便りを紹介するゆいが丘女子高等学校投書箱のコーナー
523120	525120	それでは皆さんご一緒に
525120	526120	せーの
526120	527120	投書箱
527120	529120	はいメールをご紹介しましょう
529120	532120	はいまずリエラジネーム抹茶ソーダさんからいただきました
532120	533120	ありがとうございます
533120	534120	ありがとうございます
534120	536120	オープンザゲートリリースおめでとうございます
536120	537120	ありがとうございます
537120	539120	早速何回も曲を聴いています
539120	544120	まずオープンザゲートという曲名が受験生である自分にはぴったりでした
544120	555120	曲中のハッピーエンドよりハッピーナウ目指そうというフレーズから結果も重要ですが結果よりも今の自分の努力を大切にして悔いの残らないように勉強しようという気が出ました
555120	559120	受験を乗り越えたらリエラのライブやイベントにたくさん参加します
559120	561120	ありがとうございます
561120	565120	続いてリエラジネームまっつくついさんからいただきました
565120	566120	ありがとうございます
566120	567120	ありがとうございます
567120	570120	オープンザゲートオリコンデイリーランキング1位
570120	573120	ウィークリーランキング3位おめでとうございます
573120	574120	ありがとうございます
574120	576120	MVも拝見させていただきました
576120	582120	早くあのお衣装で歌って踊るリエラちゃんの姿が見られるのを楽しみにしています
582120	584120	といただきましたありがとうございます
584120	586120	ありがとうございます
586120	588120	嬉しい
588120	590120	びっくりだよね
590120	592120	嬉しいなぁ本当にびっくりしちゃった
592120	596120	11月5日付のオリコンデイリーランキングで1位
596120	601120	そして11月17日付のウィークリーランキングでは第3位
601120	602120	すごいね
602120	603120	びっくりしました
603120	604120	ありがとうございます
604120	606120	本当にありがとうございます
606120	611120	本当に本当にCDをゲットしてくださった方はたくさんいらっしゃって嬉しいです
611120	613120	嬉しいね
613120	615120	たくさん教えてくださって
615120	619120	ということでオープンザゲートねたくさん皆さん聴いていただいていると思うんですけれども
619120	621120	ちょっと改めてねなんか好きなところとか
621120	623120	ねー押しポイントをね
623120	624120	押しポイント
624120	625120	ペイコから
625120	626120	聞きたいんですよ
626120	627120	いいんですか
627120	631120	いやもう私はオープンザゲートはもうこれ何回も言ってるんですけど
631120	633120	音がすごく好きで
633120	634120	音ね
634120	635120	楽器の音がね
635120	637120	ああ確かに
637120	641120	本当にあの物語の始まるその前のなんか
641120	643120	なんていうんだろうイントロみたいなところから
643120	645120	なんか始まっていくなと思って
645120	646120	確かに
646120	648120	なんだろうその壮大さと
648120	650120	なんかみんなで手をつないでいれば
650120	653120	なんていうんだろう怖くないってあのデビューシングルからね
653120	659120	本当このなんか思いを持って歌ってきたことがこのシングルでもねちゃんと現れててすごく
659120	663120	なんかリエラらしい楽曲だなってすごく思いました
663120	664120	ねぇ
664120	665120	リエラらしいよね
665120	666120	リエラらしい
666120	667120	すごいわかる
667120	670120	ちょっと原点にこう戻ってきた感もありつつ
670120	671120	新たなこう世界にね
671120	674120	踏み出していこうみたいな感じもありつつ
674120	676120	いいとこどりな楽曲ですね
676120	678120	本当に明るい曲だ
678120	680120	明るい曲なんですよ
680120	684120	こちらの話題の方にも移りたいと思うんですけれども
