start	end	text
0	29980	ご視聴ありがとうございました
30000	59980	ご視聴ありがとうございました
60000	89980	ご視聴ありがとうございました
90000	119980	ご視聴ありがとうございました
120000	149980	ご視聴ありがとうございました
150000	179980	ご視聴ありがとうございました
180000	209980	ご視聴ありがとうございました
210000	239980	ご視聴ありがとうございました
240000	269980	ご視聴ありがとうございました
270000	300000	
300000	330000	
330000	360000	
360000	390000	
390000	420000	
420000	450000	
450000	479980	ご視聴ありがとうございました
480000	510000	
510000	540000	
540000	570000	
570000	599980	ご視聴ありがとうございました
599980	604440	はい皆さんこんばんはレオニード日の森司法役の中島由紀です
604440	609660	このプロセカアフタートークは皆さんからいただいたお便りを紹介しながら
609660	639640	イベントを振り返しています
639660	669640	ちょっとねちょっとね
669640	699640	とんでもない超で
699640	729620	ありがとうございます
729640	759620	そうなんですリニューアルということで
759620	789600	普通に泣きました
789600	819580	リストさんからのリストさんからのリストさんからのリストさんからのお便りありがとうございます
819580	849580	この演出
849580	879560	ご視聴ありがとうございました
879580	909560	いやいいよ
909580	911580	東京の距離だけじゃなくて
939580	969560	どうですか
969560	972040	レオニードです
972040	973860	覚えてください
973860	977920	素晴らしい
977920	980420	頑張れイチカ
980420	994420	いいね
999560	1001400	もっと
1001400	1011480	すごい
1011480	1014480	みんらいつも以上に勢いがある
1014480	1016060	なに
1016060	1018820	私がこの音をもっと届ける
1018820	1020740	一つにまとめて
1020740	1023220	最終中に響くように
1023220	1024760	かっこいいな
1024760	1025180	みんな
1025180	1028600	このソビを抜けたら
1028600	1032020	イチカちゃんとシホちゃんのソラリレー
1032020	1034700	戦闘で見せて盛り上げるのに
1034700	1035100	前座で
1035100	1038440	初の会場でソラリレーやるって
1038440	1040340	決めるのすごいよね
1040340	1045800	すごいカッティング
1045800	1047860	切れ切れちゃう
1047860	1048900	もっと
1048900	1050100	熱く
1050100	1052120	お客さんを
1052120	1053340	巻き込んで
1053340	1058460	シホ
1058460	1063920	スラップ
1063920	1064800	ハイヤー
1064800	1066800	なんだこのベース
1066800	1068560	まだいける
1068560	1072420	動きに
1072420	1073760	魂を込めて
1073760	1077760	シホ
1081340	1082040	みっちゃん
1082040	1083220	しおちゃん
1083600	1084440	すごい
1084460	1087040	この流れに乗るよ
1087040	1088840	次は4人で
1088840	1090200	一望一望
1090200	1091100	一望
1091100	1091500	左かも
1091500	1105640	いいね
1105640	1107800	袖で見てくれてるのいいな
1121500	1124960	この一瞬は一緒に
1124960	1144380	いやー
1151500	1156260	1曲目の勢いをこの先に
1156260	1157940	2マスクになった
1157940	1163500	このままお客さんを引き込んで
1163500	1165080	はいはい聞こえたわ
1165080	1173760	いいね
1173760	1174360	いいね
1174360	1177340	心にずっと入ってくれ
1177340	1182020	序盤は悩みを苦しみに寄り添うように
1182020	1184340	声が届かなくて
1184340	1186520	もどかしかったり
1186520	1189340	気持ちが伝わらなくて
1189340	1191340	切なかったり
1191340	1193860	ずっとこのままで
