chunk	lines	prompt	candidates	thoughts	total
8	30	3078	495	None	3573
9	30	3193	545	None	3738
10	25	2950	724	None	3674
11	30	3199	537	None	3736
12	30	3099	483	None	3582
13	2	2312	33	None	2345
14	30	3093	473	None	3566
15	30	3081	445	None	3526
16	30	3103	464	None	3567
17	30	3094	465	None	3559
18	30	3133	895	None	4028
19	30	3113	473	None	3586
20	30	3042	419	None	3461
21	30	3212	569	None	3781
22	30	3150	502	None	3652
23	30	3255	1008	None	4263
24	30	3108	904	None	4012
25	30	3151	533	None	3684
26	10	2588	225	None	2813
