start	end	text
0	1640	キャラ作ると大変なんだよ
1640	5280	それを乗り越えなきゃいけない瞬間が絶対に来るんだよ
5280	6080	わかる
6080	9380	でもそれを乗り越えて今のヒカリンがあるから
9380	13500	頑張ってほしいねヒカリンにも
13500	17000	そしてこの先決勝戦どんなことがあるのか
17000	19940	いよいよの決勝ですけど
19940	21240	まだだから予選だからね
21240	23020	これから本番ですから
23020	24380	残り4組で
24380	28060	どんな景色が見られるのか
28060	29880	とても楽しみでございます
29880	34440	そんな今度でカノンイラスト見ていきますか
34440	34700	はい
34700	37200	じゃあすいませんまず
37200	39680	はるか先生
39680	41980	はるか先生
41980	47080	はいこちらです
47080	49800	はいこれもうかっこよかったね
49800	51840	いやー
51840	53500	バナナ発表された時の
53500	55040	あなんか
55040	57100	背筋伸びるわっていうのと
57100	59100	こういうかっこいいもまだそうだね
59100	61100	あるよねってニヤニヤしちゃった
61100	63660	ヒー!
63660	64660	ヒー!ですよ
64660	65980	本当にありがとうございます
65980	66820	でこれですよ
66820	67780	ヒー!
67780	77000	このさー
77000	78220	みんなわかんないね
78220	80300	このさ
80300	82020	あの手袋のさ
82020	83600	全部ないやつ
83600	84180	面積
84180	86340	全部面積ない手袋
86340	86960	なんていうの?
86960	88960	これがさ
88960	90320	絶対似合うんですよね
90320	91520	はるかさんってね
91520	92520	いいですよね
92520	98080	細かいところも後で衣装の話は絶対にしようね
98080	99080	ヒカリンのか
99080	100080	きれいですよ
100080	102080	なんていうのがいいですかね
102080	104080	頭の前に
104080	105080	よし
105080	106080	どんどん行かないと
106080	107080	全然進まないから
107080	108080	で
108080	109580	はいこれです
109580	111080	これさっき言ってたやつ
111080	113080	学習塾のヒカリンとアイリー
113080	115080	この2人も良かったなー
115080	118080	なんかバラエティー組って感じ
118080	121080	ここからなんか空気が変わる感じがすごいしますよね
121080	122080	可愛いんだよなー
122080	124080	なんか身長的にもさ
124080	125080	ヒカリン意外とちっちゃいんだっていうの
125080	127080	立ち絵出て初めて知ったけど
127080	129080	可愛いー
131080	133080	アイリーもいいねー
133080	134080	で
134080	136080	ここからのー
136080	138080	綺麗ですねー
138080	140080	こうかな?
140080	142080	縦にしてみてみんな
142080	144080	めっちゃいいから
144080	148080	うわー
148080	151080	ライティングきれいー
151080	154080	この後ろからさ光さしてる感じ
154080	155080	かさー
155080	156080	ねー
158080	159080	細けー
159080	161080	本当にこうやってやると
161080	163080	てか私のずっと後頭しか映ってないの
163080	165080	これ今
165080	166080	ちょっと
166080	167080	この見ないで
167080	169080	あーれんくん
171080	173080	これめっちゃ良かったー
173080	177080	あー地味にノートペンギンだし
177080	178080	可愛いー
178080	180080	でもはるかのペンギンが
180080	181080	ペンギン好き
181080	182080	このところにも出てる
185080	187080	あ待って筆記用具のところにもペンギンじゃん
187080	190080	レンくんの立ち絵って
190080	191080	今
191080	193080	旧衣装
193080	194080	っていうのかな?
194080	195080	分かんない
195080	197080	初期からの衣装の方だから
197080	198080	こういうイラストのところで
198080	199080	今の
199080	200080	見れるのいいよね?
200080	201080	で
201080	204080	かっこいいです
204080	206080	綺麗
206080	207080	綺麗
207080	208080	綺麗
208080	209080	いい
209080	212080	あんまちょっと直視できないやつですね
212080	214080	ひぃー
214080	215080	次
215080	217080	あーこれが良かった
217080	218080	これさー
218080	219080	本当に星3?
219080	221080	本当に星3?
221080	224080	あー可愛いです
224080	225080	綺麗です
225080	227080	本当に今日も美しいでございます
227080	228080	素晴らしいですね
228080	230080	いつもありがとうございます
230080	231080	でこれです
231080	232080	いやー
232080	234080	本当に星3?
234080	236080	本当に星3?
236080	237080	本当に星3?
237080	238080	分かんないよね
238080	239080	もう綺麗がね
239080	240080	はい
240080	241080	みのぶちゃんですよ
241080	242080	綺麗ですね
242080	243080	なんか
243080	244080	全体的に今回
244080	246080	あのイラストが
246080	248080	全体的に夜空っていうか
248080	249080	綺麗なブラック調なので
249080	251080	ここで
251080	253080	はっきり造形とか見れるよね
253080	254080	衣装のね
254080	255080	ウラシ?
255080	256080	緑?
256080	257080	なんだね?
257080	259080	モモジャンカラーかな?
259080	260080	いいね
260080	261080	綺麗
261080	263080	より綺麗
263080	264080	さあ
264080	265080	ということで
265080	267080	全部見ました
267080	269080	えー今回イラスト制作チームから
269080	271080	今回の衣装についてのコメントを頂いております
271080	272080	読んでいきたいと思います
272080	273080	今回は
273080	276080	アウェイな場所で複数のアイドルと合同ライブをするという
276080	277080	課題に向き合い
277080	279080	成功へ導くために
279080	281080	はるかが活躍するストーリーとなります
281080	284080	ストーリーの合同ライブという点などから
284080	285080	着想を得て
285080	286080	見せたいものを絞り
286080	288080	真っ暗な夜空の中
288080	291080	ひときわ輝くモモジャンを表現しようと考えました
291080	293080	そのため今回はあえて黒字の布と
293080	295080	目を引く星飾りを使った
295080	297080	シンプルな組み合わせのデザインとし
297080	299080	レオニとはまた違った
299080	302080	夜空で輝く星をテーマとしたデザインとなっております
302080	306080	8、9割黒い布想定でデザインしておりますので
306080	308080	チープになりすぎないよう
308080	313080	ベルベットやサテン系の質感で高級感ある光沢を出し
313080	315080	一部細やかな衣装で
315080	317080	モモジャンとしての
317080	321080	新しい印象の大人っぽいアイドル衣装になるようにしています
321080	322080	本当にそう
322080	324080	ベルベットって分かる?
324080	326080	あの、いい絨毯です
326080	327080	いい絨毯の
327080	329080	触りたくなるいい絨毯です
329080	331080	あれって
331080	333080	アイドル衣装の
333080	336080	冬系衣装によく使われる生地なんですけど
336080	338080	まさにこの12月とかの季節
338080	339080	めちゃくちゃいいんですよ
339080	342080	ライトに当たった時の光沢感、高級感
342080	344080	サテンもそう
344080	347080	サテンの方が光とかに当たった時に
347080	349080	いい感じにね、輝いてくれるんですけど
349080	352080	ベルベットも意外とね、重厚感があって
352080	354080	で、ライトもいい感じに吸収して
354080	355080	反射してくれてっていう
355080	356080	なんかね
356080	357080	めちゃくちゃ
357080	361080	記事をイラストで描くってすごくない?
361080	362080	ね
362080	363080	ここですよ
363080	365080	モモジャンの衣装のこだわり
365080	366080	ここですよ
366080	367080	素晴らしいです
367080	368080	ね
368080	369080	あれ
369080	371080	もう時間過ぎてた
371080	373080	見れますか?
373080	374080	いけますか?
374080	376080	えーーー
376080	378080	これも泣いちゃうんだよー
378080	380080	3DMV見ますけどね
380080	382080	あのー
382080	386080	曲単体で聴くより3DMVで見てください
386080	387080	絶対
387080	389080	いやこれから見るんですけど
389080	392080	ということで続いては今回のイベントのために
392080	394080	ガラス屋サボンさんに書き下ろしていただいた
394080	398080	3DMVを見て楽曲についてのお話をしていこうと思います
398080	400080	それではまず3DMVご覧ください
400080	402080	どうぞ
430080	432080	どうぞ
432080	433080	掴实してぜ
433080	435080	二度
435080	437080	逃げる
437080	438080	しくは
438080	438540	一度
438540	439060	一度
439080	440080	嘘
440080	444120	瞬く不安保重症を飲み込んで
444120	446620	ただまっすぐに切られた
446620	450920	あの星のように今
450920	453680	いつか夢見たステージへ
453680	457560	夜は咲いて輝いて響け響け
457560	460360	遥か彼方は君へ
460360	464580	この声が届くように
464580	466840	空は相にく流星間
466840	468240	光れ光れ
468240	472380	まばゆみ雨の中で
472380	475380	どこにいたってわかるのに
475380	479720	ほらさ私を見つけて
479720	482380	私を見ていて
482380	486900	もう迷いに
486900	488960	彼にき続けて
498240	500240	いい
500240	501380	はい
501380	502380	ということで
502380	505380	フォーラースターでした
505380	507380	いい
507380	509720	全部いい
509720	518860	一人ずつ表情が見えていく感じ
518860	519740	ステージの横の
519740	522740	ファンの人たちはステージの上からでしか見れないけど
522740	524860	この裏側の今からのところ
524860	525860	この表情
525860	528000	ねえ
528000	529200	ここ
529200	531000	ここ絶対みんな言うでしょ
531000	533000	みんなで言ってねえのとこだもん
533000	535000	そういうことだもんね
535000	537340	そういうこと
537340	539340	ここもいいんですよ
539340	544480	ミュージックビデオのクオリティが良くて
544480	546480	上がってて
546480	548480	あ、ここ
548480	549480	ちょっと待ってね
549480	549880	えっとね
549880	550480	ここの
550480	551480	うふふふ
551480	555480	そうあの揃ったファンも綺麗ですよ
555480	556480	アイゴリーでいいですね
556480	557480	ねえ
557480	558400	あのねここの
558400	559480	ここもいいですね
559480	560480	で
560480	561480	ふふふ
561480	562480	いやこの背景めちゃくちゃいい
562480	563480	デザイン
563480	564480	全力で歌ってもいい
564480	565480	すごくいいんです
565480	566480	素敵なんです
566480	567480	でこの
567480	568480	うわー綺麗星
568480	569480	で
569480	570480	めっちゃいいよ
570480	571480	この後ここ
571480	572480	ここ
572480	573480	ここ
573480	574480	で
574480	575480	ふふふ
575480	576480	で
576480	577480	この後の
577480	579480	フォーメーション変えての
579480	580480	そう
580480	581480	一人ずつの表情
581480	582480	これ階段ね
582480	583480	ここ
583480	584480	で
584480	585480	よく見て
585480	586480	一人ずつ
586480	587480	ここがね
587480	588480	で
588480	589480	全員で一つ
589480	591480	はい素晴らしい
593480	595480	これがいいんですよもう
595480	596480	ほんとに
596480	597480	これ初めて見た時に
597480	598480	そんな
598480	600480	なにこれ?と思って
600480	601480	あの
601480	602480	ただ
602480	603480	ステージ上で踊ってる
603480	604480	3DMV
604480	605480	やっぱ初期の頃とかね
605480	606480	ステージ全体で
606480	608480	こういうパフォーマンスしてくれるんだろうな
608480	609480	の
609480	610480	3DMVも
610480	612480	すごく好きなんですけど
612480	614480	最近のMVさ
614480	616480	マジのMVじゃん
616480	617480	ね
617480	618480	なんか
618480	620480	ミュージックビデオ感がすごくて
620480	621480	その曲の
621480	622480	歌詞とかも含めた
622480	623480	その世界観とかが
623480	625480	より分かるような
625480	627480	3DMVに進化していて
627480	628480	あと今回に関して
628480	629480	ライティングも素晴らしい
629480	630480	あの
630480	631480	カードイラストも
631480	632480	ありましたけど
632480	633480	この
633480	635480	飛んでる星からの
635480	636480	ライティング
636480	637480	あと背景から指してる
637480	638480	ここ
638480	639480	なにあれ?
639480	640480	いい!
640480	641480	え?
641480	643480	ずっといいの
644480	645480	もう
645480	646480	ダメだ
646480	647480	ずっと見ちゃうね
647480	648480	ほんと良くない
649480	650480	そう
650480	651480	これは
651480	652480	ぜひ
652480	653480	とりあえず
653480	654480	アイリの
654480	655480	投げ中と
655480	656480	遥の
656480	657480	ウインク
657480	658480	を
658480	660480	自分の推しで見てあげて
662480	663480	綺麗
663480	664480	でこのMV
664480	665480	MVで見たとき
665480	667480	この衣装めっちゃいいっすね
667480	669480	あーもうダメだ
669480	670480	もう何回も
670480	671480	ありがとう
671480	672480	本当にありがとう
672480	673480	すいません
673480	674480	楽曲の話しますね
676480	677480	はい
677480	678480	ホーラースター
678480	680480	っていう曲なんですけれども
680480	681480	ハルカバナーって
681480	682480	やっぱかっこいい曲が
682480	683480	続いてたんですよね
684480	685480	で今回やっぱ
685480	687480	どんな曲が来るんだろう
687480	688480	って私自身も
688480	690480	すごく楽しみにしてたんです
690480	691480	であの
691480	693480	かっこいいの中にも
693480	694480	幅があるっていうのを
694480	695480	この前2曲ぐらい
695480	696480	知って気づいて
696480	698480	なるほどなるほど
698480	699480	アイドルのかっこいい
699480	700480	まだあるよね
700480	701480	今回は
701480	702480	綺麗でかっこいい
702480	703480	っていうのが
703480	704480	私の最初の印象で
704480	705480	洗練された
705480	706480	かっこよさっていうのが
706480	707480	すごく新鮮に
707480	708480	ズドーンって刺さってきた
708480	709480	っていうのが
709480	711480	最初の印象でした
711480	712480	で特に
712480	713480	あの
713480	714480	過去の曲に
714480	715480	何曲かあるんですけど
715480	718480	ハーモニーが綺麗な曲
718480	719480	の一つだと
719480	720480	私は思ってて
720480	722480	みんなでユニゾンで歌って
722480	723480	かつ階段で
723480	724480	音階を重ねていく
724480	725480	みたいなのが
725480	726480	あの
726480	727480	ももちゃんの最近のストーリーの
727480	728480	ちょっとずつ成長していって
728480	729480	確実に
729480	730480	成功
730480	731480	を
731480	732480	収めていって
732480	733480	結果が出ている
733480	734480	っていうところに
734480	735480	すごく
735480	737480	リンクするなと思っていて
737480	739480	その調和みたいなのが
739480	740480	もうこの曲
740480	741480	全部が良くて
741480	742480	その
742480	743480	ハーモニーっていうラインで
743480	744480	めっちゃ何音も
744480	745480	重ねてるんですよ
745480	747480	一人ずつ歌ってるところも
747480	748480	あるし
748480	749480	コーラスで入ってる部分も
749480	750480	あるし
750480	751480	それもぜひたくさん聴いて
751480	752480	聴き比べてほしいなって
752480	753480	思うんですけど
754480	756480	曲を収録したときに
756480	757480	やっぱ一番
757480	758480	今回
