chunk	lines	prompt	candidates	thoughts	total
1	13	4208	288	None	4496
2	22	3804	720	None	4524
3	30	4002	525	None	4527
4	30	4152	633	None	4785
5	30	4116	1011	None	5127
6	30	4070	989	None	5059
7	30	4171	1061	None	5232
8	30	4117	991	None	5108
9	30	4065	941	None	5006
10	30	3923	455	None	4378
11	30	3940	473	None	4413
12	30	4033	961	None	4994
13	30	4041	984	None	5025
14	30	4274	758	None	5032
15	1	3148	11	None	3159
16	30	4078	1001	None	5079
17	30	3913	796	None	4709
18	30	3932	453	None	4385
19	30	3884	398	None	4282
20	30	3902	427	None	4329
21	30	3921	436	None	4357
22	30	4146	1014	None	5160
23	30	4154	1024	None	5178
24	30	4178	635	None	4813
25	30	4009	883	None	4892
26	30	3832	265	None	4097
27	30	3838	264	None	4102
28	30	3839	266	None	4105
29	17	3526	148	None	3674
