chunk	lines	prompt	candidates	thoughts	total
1	63	4831	2414	None	7245
2	80	4792	2562	None	7354
3	80	4887	2673	None	7560
4	80	4889	2497	None	7386
5	21	2980	589	None	3569
6	80	4600	2198	None	6798
7	80	4528	2110	None	6638
8	4	2470	103	None	2573
9	20	2975	626	None	3601
10	80	4296	1939	None	6235
11	80	4294	1412	None	5706
12	80	4288	1386	None	5674
13	80	4280	1872	None	6152
14	80	4294	1372	None	5666
15	80	4292	1385	None	5677
16	80	4293	1363	None	5656
17	80	4295	1891	None	6186
18	80	4293	1842	None	6135
19	80	4294	1871	None	6165
20	80	4291	1846	None	6137
21	80	4296	1874	None	6170
22	74	4654	2280	None	6934
