start	end	text
0	4380	はいということで6話を見ていただきましたけれども
4380	11020	私はもう始まる前これ見る前から言ってましたけど
11020	20120	ヒイラギさんと遥の会話やっぱ直談判を1対1でしに行くっていう強さが本当に素晴らしくて
20120	25280	しかも前の遥のバナーの時に対峙してるのを分かった上でもう一回
25280	31100	ヒイラギさんに会いに行くっていうのがやっぱ抱えてるものが当時とは違う
31100	35320	それねやっぱかっこいいなと思いましたし
35320	41540	実際この対峙してるシーンは2回撮ったんですけど
41540	43740	多分2回目の分が使われてるんですけど
43740	49960	1回目通した時にやっぱどうしてもその遥がヒイラギさんに対して持ってる
49960	55560	そのおたい大人に対する若干のその不安とかこれからどうしたらいいか分かんないから
55560	60500	素直にアドバイスを求めに行くみたいなところで若干揺れてたりとかしてたんですけど
60500	66460	そうじゃなくてここは遥としてふっかけてくださいって言われます
66460	72060	ヒイラギさんにアドバイスを聞きに行くためにとりあえず彼に
72060	74400	でも角度欲しいですよね
74400	80720	確実にここを通過するためには協力しませんかってふっかけてくださいって
80720	83080	いうディレクションをいただいて
83080	85020	何それめっちゃ面白そうやりたいって
85020	89460	でやったのが2回目だったので今のだったんですけど
89460	100220	もちろんね一人のプロデューサーとしての立ち位置が遥の中でちょっとずつ確立されていってるんだなっていうのが今回のストーリーの1個の軸だと私は思っているので
100220	107240	それがこのヒイラギさんとのシーンで明確に出てたらいいなというふうに思っております
107240	108140	そうなんですよ
108140	115580	その音響監督さんディレクションしてくださる方もだんだんその遥のことをやっぱり一緒に作ってきてるんで
115580	121780	そろそろ遥ここでちょっと出してもいいんじゃないですかとかっていうのがちょっとずつ聞けてすごく嬉しいんですよ
121780	127740	今回特にその6話ではそれが特に出てるので皆さんにぜひ見てほしかったなというところでした
127740	128680	はい
128680	131140	そんな感じかな
131140	134140	あヒアリングが落ちたちょっと待ってね
134140	140900	ということで
140900	146300	はい一旦6話の振り返りはここまでにして
146300	147540	カードイラストかな
147540	152380	あいいですか
152380	154580	8話
154580	156960	8話
156960	158640	やっぱ
158640	162800	まずとりあえず通過おめでとう
162800	163680	桃ちゃん
163680	165840	本当におめでとう
165840	167600	いいんです最初
167600	170760	もうとりあえず決勝に上がれればいいと思ってたの
170760	172000	でも2位だよ
172000	173800	すごい大躍進ですよ
174640	177220	1位がチアデ
177220	179140	で2位が桃ちゃん
179140	181020	残り2組になった時の
181020	186800	まだここで諦めちゃいけないっていうはるかのあの気持ち
186800	189840	あー泣きそう
189840	191760	あのCめっちゃかっこよかったな
191760	196000	他のメンバーがもうダメかもってなってる時にはるかがさ
196000	198080	えーん
198080	200320	泣きそう
200320	204000	あれが本当に良くてまだ諦めちゃいけないって
204000	207800	で代表してはるかがありがとうございますって最初に言うわけですよ
207800	211800	あのありがとうございますはもうまじ泣きでした
211800	212800	もちろんはるかですよ
212800	216800	はるかとして言ってますけどなんかもう全部嬉しくて本当に嬉しくて
216800	218800	ねー
218800	221800	でもあのありがとうございますの
221800	223800	なんか
223800	224800	最初
224800	226800	あれ2回撮った気がする
226800	230800	1回目はほんとしっかりしなきゃっていう気持ちでやってたんですけど
230800	233800	いやーもっと感情出していいと思います
233800	235800	ここで1個の区切りになるんで
235800	237800	確かに
237800	240800	もう1回読んだらもうあまりに良くて
240800	243800	2回目でも泣けんのかよと思って
243800	247800	はい全力のありがとうございますが出ましたけどね
247800	250800	でもうそうヒカリンが
250800	253800	今回予選で堂々5位ですけど
253800	256800	今回4組しか上がれないってことで
256800	257800	ヒカリンがね
257800	259800	あのここで
259800	262800	ヒカリンの夢はここで1回終わるってよみたいな
262800	267800	他みんながきっとまだまだ輝いてくれるかみたいなって言ってくれて
267800	271800	もうなんかヒカリン節にいっぱい助けられてた予選だったので
271800	273800	まあ実りも特にね
273800	276800	なのでそこの絆も含めて
276800	279800	なんかなぁヒカリンがいなくなっちゃうのほんと寂しいけど
279800	282800	こうやってみんなの意思をつないでいくからこそ
282800	284800	チームっていう
284800	290800	予選の最終戦がめちゃくちゃ響いてくるんだろうなっていうのすごく感じて
290800	293800	あと私個人的にヒカリンの
293800	299800	あのビジュアルが追加された時にめちゃくちゃ嬉しかったんですよね
299800	302800	めちゃくちゃ気になってたから
302800	305800	どういう子かなとかボイスの感じからイメージはしてたんですけど
305800	307800	めちゃくちゃかわいいやん
307800	310800	盛り盛り盛りだくさんで
310800	314800	もっとヒカリンのこと色々知りたかったなっていう風に思いました
314800	317800	ねーまた共演してほしいですよね
317800	321800	実際にヒカリンがどういう曲歌ってるのかとかめちゃくちゃ気になるし
323800	325800	かわいいよねー
325800	327800	あのーこの後
327800	329800	あのカードイラストも見ますけど
329800	332800	アイリーかな?アイリーのカードにちょっといるんだよね
332800	334800	ヒカリンさん
335800	339800	分かる?キャラ作りすぎると大変なんだよね
339800	341800	ふふふふ
341800	343800	キャラ作ると大変なんだよ
343800	347800	それを乗り越えなきゃいけない瞬間が絶対に来るんだよ
347800	348800	分かる?
348800	351800	でもそれを乗り越えて今のヒカリンがあるから
353800	355800	頑張ってほしいねヒカリンにも
355800	358800	そしてこの先決勝戦どんなことがあるのか
359800	361800	いよいよの決勝ですけど
361800	363800	まだだから予選だからね
363800	364800	これから本番ですから
364800	366800	残り4組で
366800	369800	どんな景色が見られるのか
369800	371800	とても楽しみでございます
371800	375800	そんな今度でカードイラスト見ていきますか
375800	377800	はい
377800	379800	じゃあすいませんまず
379800	381800	はるか先生
381800	383800	はるか先生
383800	385800	はるか先生
385800	387800	はい
387800	389800	こちらです
389800	391800	はいこれもうかっこよかったね
391800	393800	いやー
393800	395800	バナー発表された時の
395800	399800	なんか背筋伸びるわーっていうのと
399800	401800	こういうかっこいいもまだそうだね
401800	403800	はい
403800	407800	はい
407800	409800	はい
