start	end	text
0	7520	プロセカアフタートーク
7520	10440	この物語は希望を乗せてへん
10440	13400	今大丈夫でした
13400	14720	手ぶつけましたよね
14720	20140	はいこんばんは
20140	21580	こんもは
21580	25180	モアモアジャンプキリタニハルカ役の吉岡真由です
25180	26500	よろしくお願いします
26500	29680	はいこの
29680	31480	プロセカアフタートークはですね
31480	34480	皆さんからいただいたお便りを紹介しながら
34480	36260	イベントを振り返る番組です
36260	40140	今回はこの物語は希望を乗せてへんとなっております
40140	41400	はい皆さん
41400	45640	ストーリーイベント楽しんでいただけましたでしょうか
45640	47220	どうでしたかね
47220	52260	私自身もすごく楽しみにしていたので
52260	53500	今日も含めて
53500	57380	今日みんなからの感想が聞けるのとても楽しみにしております
57380	61180	ということで事前にプロセカ公式ディスコードと
61180	64140	メールにてアフタートークへのお便りを募集しておりました
64140	65760	送ってくださった皆さんありがとうございます
65760	70520	今日もねいただいたお便りを番組内で紹介させていただきます
70520	72640	本当たくさんいただいてたみたいで
72640	74920	紹介できる数は少ないんですけど
74920	75980	本当にありがとうございます
75980	80140	またイベントやこの放送の感想をですね
80140	83720	ハッシュタグプロセカアフタートークでポストしてください
83720	86620	はいYouTubeのチャットもここで見れてます
86620	89120	どんどんどんどん書いてくださいね
89120	93720	あのハッシュタグ私も放送終わった後に見に行きますから
93720	95240	ぜひたくさんつぶやいてください
95240	96780	よろしくお願いします
96780	103440	はいえーということでコメントも見ながらではありますが
103440	105220	じゃんじゃんじゃんじゃんやっていきたいと思いますよ
105220	107900	なんせね私今日いっぱい喋るつもりで来たんで
107900	113400	私今日ノート持ってきたのに楽屋に忘れてきちゃった
113400	116500	ちょっと後でメイクさんに頼もう
116500	119320	はいえーそれではですね
119320	124640	早速今回のこの物語は希望を乗せてのストーリーについてお話できればと思います
124640	129760	えー皆さん改めて今回のストーリーはいかがでしたでしょうか
129760	132680	えーお便りの方を紹介しながらですね
132680	135400	一緒にストーリーの方を振り返っていきたいと思いますよ
135400	141260	はいまず1つ目みりんさんかな
141260	145000	ありがとうございますみりんさん
145000	147320	えー吉岡さんこんもはこんもは
147320	151420	吉岡さんの芯のある透き通った声が大好きです
151420	152040	ありがとう
152040	156700	今回のイベントはいつも以上に答えにたどり着くまでのプロセスが
156700	158720	緻密に描かれているなと感じました
158720	163740	今回はチアでなど他のアイドルたちと一緒に目標を達成するということで
163740	165320	みんなが話し合い
165320	166580	はぁー
166580	168040	はっはっはっきた
168040	170580	はっはっはっのーときた
170580	172340	ちょっとで紹介します
172340	173260	ゆっくりしちゃった
173260	174640	メールの途中だったらごめんなさい
174640	180140	えー今回はチアでなど他のアイドルたちと一緒に目標を達成するということで
180140	189660	みんなが話し合い意見を出し合いあーでもないこうでもないと考える様子がしっかり描写されその中でテキパキ動くはるかちゃんがすごく印象的でした
189660	197300	はるかちゃんの行動力がよりはっきり目に見えたしいろんなアイドルと交流する姿も見ていて楽しかったです
197300	201180	ももちゃんのみんなルミグラ決勝戦頑張れ
201180	202780	ありがとうございます
202780	205320	ルミグラって訳すんですね
205320	208620	なんかルミナグランプリが通称ですけど
208620	212880	初めて4文字で訳してるとこ見たかも
212880	213660	あったっけ
213660	215380	ねありがとうございます
215380	218740	みりんさん改めてありがとうございます
218740	220520	そうなんですよね
220520	227980	あのー1個決勝戦の直前1個手前というとても大きな節目の物語ではあったので
227980	232580	みんなのねあの反応がついに来るかっていう感じがね
232580	236980	あの事前にもらってた感想だと多かったんですけど
236980	241280	ねあのすごい身構えてた人がいっぱいいたと聞きましたが
241280	244520	結果的にねすごく
244520	249360	あのいい状態で次に行けそうな気がしましたよね
249360	253080	はるかちゃんのような上司が欲しい
253080	254320	わかる
254320	258660	ルミグラ発見に
258660	259280	あーやっぱそうなんだ
259280	260540	日部で訳してるみたい
260540	264940	確かにねなんか世間的になんか通称何々って出てきそう
264940	266540	ルミグラって訳されそうだわ
266540	267620	納得納得
267620	276900	はいえーということでもう1つ
276900	279440	メールをね読んでいきたいと思います
279440	283100	えーゆっきーさんかな
283100	284280	ありがとうございます
284280	285660	カタカナゆっきーさん
285660	287120	えーよしおかさんこんもはです
287120	288000	こんもはです
288000	293180	今回のストーリーは猛者にとって一種の集大成だったと感じるお話でした
293180	296680	ルミナグランプリの間戦ってきた子たちと力を合わせて
296900	304020	集客率ではなく目の前の人たちに希望を届けることを優先したという決断に心動かされました
304020	312000	またはるかたちにとって過去の自分と向き合うような形で課題に取り組んでいった様も非常にかっこよかったし
312000	317460	最後の予選結果発表では無事2位で通過することができ感動の連続でした
317460	321780	吉岡さんが声で見せてくれるはるかの色これからも楽しみにしています
321780	322660	ありがとうございます
322660	327160	ねそう無事2位で通過しましたよと
327160	331160	あの発表の瞬間ドキドキしましたね
331160	332880	ちょっとずつ一組ずつ
332880	339820	しかもさ総評数なんぼっていうのが数字で出ちゃうのめちゃくちゃリアルじゃない?
339820	344620	なんかルミナグランプリの面白いところが1人2票あるんですよね
